Date,Open,High,Low,Close,Adj Close,Volume
7/11/11,9867.400391,9870.299805,9588.099609,9670.599609,9670.589844,338073000
7/12/11,9553.799805,9690.299805,9276.099609,9603.400391,9603.390625,449762000
7/13/11,9520.400391,9719.700195,9508,9666.900391,9666.890625,293129000
7/14/11,9563.5,9678.400391,9535.400391,9598.599609,9598.589844,205287000
7/15/11,9553.400391,9607.099609,9449.799805,9484.200195,9484.19043,287267000
7/18/11,9443.799805,9511.099609,9332.200195,9347.799805,9347.790039,235905000
7/19/11,9395.5,9540.700195,9379.400391,9443.799805,9443.790039,218847000
7/20/11,9546.599609,9744.400391,9531.299805,9732.799805,9732.790039,293575000
7/21/11,9803.099609,10073.5,9650.5,10017.59961,10017.58984,369237000
7/22/11,10099.2998,10221.5,10017.2002,10059.2998,10059.29004,377171000
7/25/11,10005.2002,10009.59961,9826.599609,9866.200195,9866.19043,211892000
7/26/11,9897.799805,9930.299805,9756.900391,9833.400391,9833.390625,201925000
7/27/11,9762.200195,9782.200195,9569.700195,9643.299805,9643.290039,238022000
7/28/11,9544.299805,9707.400391,9517.099609,9657,9656.990234,247610000
7/29/11,9540.299805,9679,9499.799805,9630.700195,9630.69043,254006000
8/1/11,9713,9752.299805,9316.400391,9318.200195,9318.19043,290079000
8/2/11,9236.099609,9342.599609,9114.900391,9114.900391,9114.891602,387974000
8/3/11,9033.700195,9297.299805,8958.599609,9037.700195,9037.691406,306543000
8/4/11,9217.700195,9219.700195,8686.5,8686.5,8686.491211,385372000
8/5/11,8479.400391,8920.700195,8462.700195,8671.200195,8671.191406,467593000
8/8/11,8727.599609,9030.799805,8453.599609,8459.400391,8459.391602,428022000
8/9/11,8530.099609,8660.799805,8101.899902,8428.900391,8428.891602,466340000
8/10/11,8637.599609,8646,7933.799805,7966,7965.991699,449668000
8/11/11,8207.099609,8293.700195,7767.299805,8249.400391,8249.391602,518475000
8/12/11,8302.700195,8647.299805,8046,8647.299805,8647.291016,307890000
8/15/11,8727.5,8731.400391,8581.400391,8709,8708.991211,125248000
8/16/11,8664.799805,8674.299805,8494.200195,8674.299805,8674.291016,183972000
8/17/11,8636.299805,8795.299805,8552.299805,8728.200195,8728.191406,166738000
8/18/11,8612.5,8644.200195,8166.399902,8317.700195,8317.691406,255857000
8/19/11,8289,8293,8015,8141.899902,8141.891602,328676000
8/22/11,8090.700195,8391.5,8081.399902,8293.900391,8293.891602,169798000
8/23/11,8386.700195,8480.099609,8183.399902,8279.799805,8279.791016,173694000
8/24/11,8340.700195,8427.099609,8221.400391,8369.099609,8369.09082,136005000
8/25/11,8474.299805,8477.900391,8245.200195,8299.099609,8299.09082,149803000
8/26/11,8330.299805,8337.200195,8031.100098,8185.5,8185.491699,161053000
8/29/11,8318.799805,8423.5,8261.900391,8395,8394.991211,95897000
8/30/11,8463.200195,8504.200195,8377,8444.799805,8444.791016,151261000
8/31/11,8498.799805,8718.599609,8444.799805,8718.599609,8718.59082,197599000
9/1/11,8748,8801.700195,8615.400391,8761.099609,8761.09082,171201000
9/2/11,8653.099609,8655.5,8408.299805,8463.5,8463.491211,168596000
9/5/11,8302.200195,8304.200195,8056.399902,8066.5,8066.491699,193160000
9/6/11,8022.200195,8145.700195,7866.299805,7936.399902,7936.39209,256231000
9/7/11,8134.399902,8166.200195,8039,8156.600098,8156.591797,194621000
9/8/11,8165.299805,8347.200195,8148.899902,8277.799805,8277.791016,173917000
9/9/11,8225.400391,8276.299805,7903.200195,7910.200195,7910.192383,206216000
9/12/11,7762.700195,7786.899902,7592.399902,7640.700195,7640.692383,303337000
9/13/11,7780.799805,7836.899902,7505.299805,7834.200195,7834.192383,264721000
9/14/11,7749.5,8063,7743.899902,8045.700195,8045.691895,267632000
9/15/11,8134.299805,8436.299805,8108,8337.900391,8337.891602,259608000
9/16/11,8444.400391,8445.099609,8275.200195,8388.400391,8388.391602,412179000
9/19/11,8177.700195,8272.200195,8152.299805,8222.700195,8222.691406,161604000
9/20/11,8173.399902,8374.400391,8151.5,8362.200195,8362.191406,165457000
9/21/11,8378.799805,8379.400391,8185,8210.299805,8210.291016,176487000
9/22/11,8011.100098,8043.299805,7774,7830.799805,7830.791992,295675000
9/23/11,7945.799805,7998.899902,7639.600098,7996.899902,7996.891602,272080000
9/26/11,7846.399902,8312.700195,7842.700195,8201.700195,8201.691406,259222000
9/27/11,8380.700195,8562.099609,8333.5,8531.900391,8531.891602,278759000
9/28/11,8409.099609,8626.5,8364.900391,8480.200195,8480.191406,212410000
9/29/11,8424.5,8653.900391,8420.299805,8592.5,8592.491211,230920000
9/30/11,8555.200195,8592.599609,8427.299805,8546.599609,8546.59082,191595000
10/3/11,8346.599609,8394.400391,8288.799805,8353.799805,8353.791016,178801000
10/4/11,8267.799805,8271.900391,8065.100098,8225.400391,8225.391602,268613000
10/5/11,8404.200195,8477.299805,8295.700195,8477.299805,8477.291016,228970000
10/6/11,8510.400391,8704.799805,8501.200195,8704.799805,8704.791016,275941000
10/7/11,8728.799805,8849.900391,8674.099609,8798.400391,8798.391602,226775000
10/10/11,8848,8894.400391,8790.599609,8892.400391,8892.391602,193051000
10/11/11,8858.799805,8858.900391,8732.200195,8845.5,8845.491211,191610000
10/12/11,8784.799805,9029.900391,8730.5,9026.5,9026.491211,227639000
